Restaurant,Cuisine,Budget,Rating,City
Molina and Sons,Italian,$$,3.0,Hong Kong
Vaughan and Sons,Italian,$,4.9,Hong Kong
Atkinson-Nichols,Indian,$,1.7,Hong Kong
Nguyen-Johnson,Chinese,$$,3.5,Hong Kong
Lewis-Mills,Japanese,$,4.8,Hong Kong
Barnett-Miller,Italian,$$$,4.4,Hong Kong
"Scott, White and Walker",Italian,$,3.4,Hong Kong
Daniels LLC,Indian,$$,4.5,Hong Kong
Peck PLC,Indian,$$$,1.0,Hong Kong
Allen-Barnes,Indian,$,1.9,Hong Kong
Peterson-Castro,French,$,1.0,Hong Kong
Bass Inc,Chinese,$,1.9,Hong Kong
Olson-Friedman,Mexican,$$,3.1,Hong Kong
